ID,age,gender,ses,poli,civicengage1,colleff1_1,colleff2_1,affectpol1,polar1,perpolarlay1,perpolarelite1,media1_tv1,media2_newspaper1,media3_sns1,media4_youtube1,media5_community1,media6_other1,media6_othertext1,civicengage2,colleff1_2,colleff2_2,voteintention2,media1_tv2,media2_newspaper2,media3_sns2,media4_youtube2,media5_community2,media6_other2,media6_othertext2,media1_tv_perc2,media2_newspaper_perc2,media3_sns_perc2,media4_youtube_perc2,media5_community_perc2,media6_other_perc2,media6_othertext_perc2,affectpol2,polar2,perpolarlay2,perpolarelite2,civicengage3,colleff1_3,colleff2_3,vote3,media1_tv3,media2_newspaper3,media3_sns3,media4_youtube3,media5_community3,media6_other3,media6_othertext3,media1_tv_perc3,media2_newspaper_perc3,media3_sns_perc3,media4_youtube_perc3,media5_community_perc3,media6_other_perc3,media6_othertext_perc3,affectpol3,polar3,perpolarlay3,perpolarelite3
293,44,2,6,5,20,4,4,0,2,4,10,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
294,34,1,2,8,25,3,3,82,3,7,6,NA,NA,3,4,5,NA,NA,62,3,2,1,NA,2,3,NA,NA,NA,NA,5,40,5,20,30,NA,NA,81,5,10,10,13,2,4,1,1,2,3,4,5,NA,NA,15,15,35,15,15,0,5,70,0,1,6
295,60,2,1,10,100,5,4,100,5,5,5,1,2,3,4,5,NA,NA,0,4,4,1,1,2,3,4,5,NA,NA,10,15,25,25,25,NA,NA,1,5,0,0,0,5,4,1,1,2,3,4,5,NA,NA,25,15,25,15,20,0,0,100,5,10,10
296,60,2,6,6,20,4,4,25,2,5,6,1,2,NA,NA,NA,NA,NA,45,3,3,3,NA,2,NA,NA,NA,NA,NA,50,50,0,0,0,NA,NA,36,2,5,6,29,3,3,1,1,NA,NA,NA,NA,NA,NA,100,0,0,0,0,0,0,23,2,5,4
297,32,1,5,4,13,1,2,30,0,4,5,1,2,NA,NA,NA,NA,NA,19,2,2,1,1,2,NA,NA,NA,NA,NA,40,10,10,30,10,NA,NA,53,2,4,3,20,3,2,1,1,NA,NA,NA,NA,NA,NA,100,0,0,0,0,0,0,68,3,2,2
298,61,2,1,5,23,3,3,8,1,0,2,1,2,NA,NA,NA,NA,NA,6,3,3,1,1,NA,3,NA,NA,NA,NA,60,10,10,10,10,NA,NA,1,1,0,0,42,2,1,1,1,NA,NA,NA,NA,NA,NA,40,10,10,10,10,0,20,3,2,0,0
299,59,1,4,4,67,5,4,23,2,5,3,1,2,3,NA,NA,NA,NA,41,4,4,1,1,NA,NA,NA,NA,NA,NA,80,0,10,10,0,NA,NA,12,1,4,6,56,4,4,1,1,NA,NA,NA,NA,NA,NA,100,0,0,0,0,0,0,28,2,3,4
300,64,2,8,4,72,4,4,50,1,6,6,1,NA,NA,4,NA,NA,NA,85,5,4,1,1,2,3,4,NA,NA,NA,30,10,10,50,0,NA,NA,51,1,7,5,75,4,4,1,1,2,NA,4,NA,NA,NA,30,10,10,50,0,0,0,51,2,7,7
301,61,1,7,9,68,3,4,0,0,0,1,1,NA,NA,NA,NA,NA,NA,68,4,3,1,1,2,NA,NA,NA,NA,NA,20,10,10,30,30,NA,NA,97,3,7,0,69,4,4,1,1,NA,NA,NA,5,NA,NA,30,30,20,10,10,0,0,92,3,0,8
302,33,2,3,5,23,5,4,0,3,0,5,1,NA,3,NA,NA,NA,NA,27,4,4,1,1,NA,3,4,NA,NA,NA,50,40,10,0,0,NA,NA,0,2,7,10,24,4,4,1,1,2,NA,NA,NA,NA,NA,50,50,0,0,0,0,0,1,2,7,5
